pair_id,team_low_code,team_high_code,team_low_name,team_high_name,verification_status,source,source_status,evidence_url,match_count,checked_at
alg-aus,ALG,AUS,阿尔及利亚,澳大利亚,confirmed_four_sources_no_match,international_results,no_match,https://github.com/martj42/international_results/blob/master/results.csv,0,2026-05-20T06:32:44.910Z
alg-aus,ALG,AUS,阿尔及利亚,澳大利亚,confirmed_four_sources_no_match,11v11,no_match,https://www.11v11.com/teams/algeria/tab/opposingTeams/,0,2026-05-20T06:23:57.054Z
alg-aus,ALG,AUS,阿尔及利亚,澳大利亚,confirmed_four_sources_no_match,worldfootball,no_match,https://www.worldfootball.net/teams/te13940/algeria/record-opponent/,0,2026-05-20T06:23:57.054Z
alg-aus,ALG,AUS,阿尔及利亚,澳大利亚,confirmed_four_sources_no_match,national_football_teams,no_match,https://www.national-football-teams.com/country/3/2026/Algeria.html,0,2026-05-20T06:32:28.682Z
alg-cro,ALG,CRO,阿尔及利亚,克罗地亚,confirmed_four_sources_no_match,international_results,no_match,https://github.com/martj42/international_results/blob/master/results.csv,0,2026-05-20T06:32:44.911Z
alg-cro,ALG,CRO,阿尔及利亚,克罗地亚,confirmed_four_sources_no_match,11v11,no_match,https://www.11v11.com/teams/algeria/tab/opposingTeams/,0,2026-05-20T06:23:57.054Z
alg-cro,ALG,CRO,阿尔及利亚,克罗地亚,confirmed_four_sources_no_match,worldfootball,no_match,https://www.worldfootball.net/teams/te13940/algeria/record-opponent/,0,2026-05-20T06:23:57.054Z
alg-cro,ALG,CRO,阿尔及利亚,克罗地亚,confirmed_four_sources_no_match,national_football_teams,no_match,https://www.national-football-teams.com/country/3/2026/Algeria.html,0,2026-05-20T06:32:28.682Z
alg-cuw,ALG,CUW,阿尔及利亚,库拉索,confirmed_four_sources_no_match,international_results,no_match,https://github.com/martj42/international_results/blob/master/results.csv,0,2026-05-20T06:32:44.911Z
alg-cuw,ALG,CUW,阿尔及利亚,库拉索,confirmed_four_sources_no_match,11v11,no_match,https://www.11v11.com/teams/algeria/tab/opposingTeams/,0,2026-05-20T06:23:57.054Z
alg-cuw,ALG,CUW,阿尔及利亚,库拉索,confirmed_four_sources_no_match,worldfootball,no_match,https://www.worldfootball.net/teams/te13940/algeria/record-opponent/,0,2026-05-20T06:23:57.054Z
alg-cuw,ALG,CUW,阿尔及利亚,库拉索,confirmed_four_sources_no_match,national_football_teams,no_match,https://www.national-football-teams.com/country/3/2026/Algeria.html,0,2026-05-20T06:32:28.682Z
alg-cze,ALG,CZE,阿尔及利亚,捷克,confirmed_four_sources_no_match,international_results,no_match,https://github.com/martj42/international_results/blob/master/results.csv,0,2026-05-20T06:32:44.912Z
